round,accuracy,f1
1,0.7391621851024184,0.2640303655613524
2,0.8829283900187662,0.49601491558901945
3,0.8868225433181037,0.5152789481766339
4,0.8893672539670961,0.531631593369752
5,0.892068625955717,0.5730888555595121
6,0.8915754328494792,0.5810228862708101
7,0.8926687466429712,0.5953957332118005
8,0.8929107842682175,0.6016031671427708
9,0.8930110806814188,0.6052210555988544
10,0.8934678023646745,0.6101879451447216
11,0.8931702287089779,0.608499416933458
12,0.8939220373599994,0.6171844774222773
13,0.8937338779732499,0.6162951529510907
14,0.893976744494473,0.620052879371983
15,0.8939900068301029,0.620644109333274
16,0.8943124473651055,0.6288640001694085
17,0.8940745542197437,0.6212507172352906
18,0.8943273674926892,0.6218774492095058
19,0.8945271314231149,0.627877716224423
20,0.8947467888569856,0.6268094374265519
21,0.8946945684104428,0.6263941014630983
22,0.8945453671346061,0.6298584443857704
23,0.895300491369535,0.6332788058970136
24,0.89485951870984,0.632377136879664
25,0.8957514107809527,0.63956839965078
26,0.8947766291121529,0.6287777405464987
27,0.8949929709621162,0.6339349792244172
28,0.8958475627142696,0.6399591338415007
29,0.895274795594252,0.6368286640046172
30,0.8954903085482384,0.636612200542919
