round,accuracy,f1
1,0.8753804632533836,0.47968326678481776
2,0.8873679568708845,0.5224194413254346
3,0.8903121953807285,0.5570152219326358
4,0.8913823000868683,0.581658557844687
5,0.891832390602309,0.5924451790666995
6,0.892369515195321,0.5977538052409941
7,0.8935780455295982,0.608999977215945
8,0.8938756191852947,0.6123912759882989
9,0.8941930863444362,0.6165050172065895
10,0.8942826071099381,0.6202661931422591
11,0.8943762723553245,0.6204643986252045
12,0.8948429407903026,0.6268587208368465
13,0.8949191992201747,0.6297430455895934
14,0.8950178378414223,0.6255543418241314
15,0.8950891228954331,0.6320479341841843
16,0.8951703547011665,0.6335572772343236
17,0.8952424686511542,0.6313506197932641
18,0.8954380881016956,0.6353695559104678
19,0.8954447192695105,0.6332716528363569
20,0.8954820195884697,0.634524965332603
21,0.8955972361292547,0.6337647067183734
22,0.8956287341763758,0.6352830852023418
23,0.8957398062372764,0.6371869721421626
24,0.8957729620763513,0.6397520350230526
25,0.8957025059183172,0.6497612054793949
26,0.8960340643090655,0.6443281218519339
27,0.8960531289165334,0.6433181184369798
28,0.8960448399567648,0.6446232950627235
29,0.8957538974688832,0.6408585816238881
30,0.8962371438233987,0.6465508185895261
