epoch,train_loss,test_loss,test_acc,test_f1
1,0.2603145209075987,0.2313092430457077,0.8889892774016432,0.5361103548123012
2,0.2343879042314374,0.2286205810148934,0.8913400263920479,0.5902028883121131
3,0.22964560261190367,0.2230740046613687,0.8931047459268052,0.5957888590427471
4,0.22712483396977656,0.22130433515222234,0.8939137484002307,0.6048350175307687
5,0.2251395861508171,0.22008379678582704,0.8947202641857257,0.6244942812315948
6,0.2237361613734496,0.21906854327163036,0.8944674509127802,0.6308425038488668
7,0.22288611946147752,0.2196442317225864,0.8951355410701378,0.6426444650083802
8,0.22190930896990008,0.21816224122231925,0.8954579816051405,0.626696995465323
9,0.22107821673168987,0.2174182577010391,0.8955077153637527,0.6280393998339735
10,0.2203135055281484,0.21808094363420866,0.8948131005351353,0.6466595423209288
11,0.2198077764578863,0.21605012708965718,0.8958782318654138,0.6423635454470531
12,0.21915749883632427,0.21513226801610072,0.896299311021664,0.6498639299968332
13,0.21842403534096644,0.2173428087978971,0.8952830845540208,0.6572506743181568
14,0.21789595942087003,0.21433222032209198,0.8968074242554857,0.6573368644524272
15,0.21737359418324637,0.21381489940619908,0.8966283827244816,0.6542678298947031
16,0.21691123304256096,0.21468317498717487,0.8964178431463565,0.6595820792486231
17,0.2165322077497139,0.21296432889518177,0.8973321154088446,0.6570080164078588
18,0.21626531017642048,0.21299345967334107,0.8974017426709018,0.6534760606329771
19,0.21590381347309873,0.2127757731027428,0.8966723142112557,0.6680099360564705
20,0.21559202514217565,0.21308124114577953,0.8970685264881998,0.6552383058840634
21,0.2152979658797155,0.21261426358020816,0.8970088459778651,0.6595196580751317
22,0.215018541337538,0.21255801164126778,0.8972384501634583,0.6643440039389497
23,0.2148372672436487,0.21268507935035658,0.8966681697313714,0.6884651186447761
24,0.214650781266984,0.21261208646624072,0.8974531342214678,0.6859524303874016
25,0.21446941893260535,0.2129700794785089,0.8975526017386922,0.6816281620479596
26,0.21430268605681008,0.2123340024271368,0.8978029283237071,0.6855305259162731
27,0.214233222231318,0.21087045641953492,0.8980930419156118,0.6692730753277567
28,0.21398931961268972,0.21362689841653118,0.8937471403088798,0.6884458536986793
29,0.21393424559985574,0.21219931294509167,0.8975293926513398,0.681096692181989
30,0.21386962004206456,0.2113563228988297,0.898155209113877,0.6759572047133451
31,0.21368198105688493,0.2111080390545901,0.8981527224259465,0.6718737073473166
32,0.21358625215134613,0.21273411146034943,0.896804937567555,0.684023556789527
33,0.2135252693674673,0.21136841041065846,0.8975791264099521,0.6833514235802146
34,0.21339375751671108,0.2111025701425664,0.8980797795799819,0.6662010131011232
35,0.21335562406510628,0.21163251000686292,0.898046623740907,0.6798922233172876
36,0.21323921657315048,0.21095219588883743,0.8983765243397015,0.6830554636614682
37,0.21312244628337387,0.2113691552004433,0.8977987838438227,0.6808435865979099
38,0.21309379217966698,0.21156746121079523,0.8981460912581315,0.6875700399791077
39,0.21301435746514963,0.21065036444631022,0.8983243038931586,0.6756637205095224
40,0.2129408342935565,0.21140674989310024,0.8976089666651194,0.6678678990003137
41,0.21290009545362812,0.21066849616942898,0.8982306386477723,0.6778437224945051
42,0.21275095085160847,0.21185762383227605,0.897208609908291,0.6745787803369345
43,0.21283894848035145,0.21080092995333005,0.8979040536328853,0.6826461239758684
44,0.21276378021934217,0.21046753657474193,0.8983574597322335,0.6792132003204654
45,0.2126013777669873,0.20994110728600193,0.8983839844034933,0.6842454922862098
46,0.21251183695738915,0.2105295354948143,0.89831601493339,0.6801812829075938
47,0.21251705677620325,0.20994432215142703,0.8985298700954225,0.6825481718099813
48,0.21249025814385647,0.21078202430785248,0.897521932587548,0.6785778901606161
49,0.2124302327916149,0.21148488128252385,0.8981087909391723,0.6767277513238549
50,0.21237904767633764,0.20986582025496558,0.8984022201149845,0.6846402306889054
51,0.21233272975629938,0.2110427771968081,0.8978277952030133,0.6817330850962217
52,0.21230762780038065,0.2100843543804273,0.8988191547913503,0.6797378954151045
53,0.2122647095023004,0.21039449630864288,0.8983491707724648,0.6853433883390972
54,0.21214576323411702,0.21014156624048624,0.898238927607541,0.6874289268605001
55,0.21215556082171727,0.20986907547209055,0.8986417710523,0.6786913233492149
56,0.21206078295787897,0.21004024799682813,0.8986682957235599,0.678093833246143
57,0.21202527457544007,0.2102564309513014,0.8984826230247409,0.6815086763382605
58,0.21198489411737903,0.20996780436609694,0.8986873603310279,0.6760282578879827
59,0.21194332301478677,0.21012787328152466,0.8988232992712346,0.6871323178894827
60,0.21183097994855757,0.20947047602868843,0.8987835122643448,0.6829280454480218
61,0.211857349177645,0.20998954399182568,0.8984171402425681,0.6847056959109711
62,0.2118467288299014,0.21022280003955607,0.8987155427942415,0.6820388031940656
63,0.21180406969097854,0.21012761741569297,0.8982024561845586,0.6848270131694085
64,0.21175921980961432,0.21106688054256323,0.8981643269696227,0.689173953799654
65,0.21169034703757805,0.20941154228467707,0.8988564551103094,0.6787967932709129
66,0.21173698737473953,0.20990928882681123,0.8986459155321844,0.6900900351321295
67,0.2116718656814621,0.2094432376387135,0.8990089719700537,0.6839896216419927
68,0.21169528301381574,0.21025913556556483,0.8985190944477232,0.6786041103840939
69,0.21161197427388917,0.2100994406028517,0.897669476071431,0.6833386055536166
70,0.21153466999204465,0.20952039513696377,0.8985572236626592,0.6881486507345597
71,0.21156239772566202,0.21139965429033025,0.8977697724846323,0.6796263377314475
72,0.21148675684367452,0.20917856324688805,0.8990330099533829,0.6904759882844693
73,0.21146324801626704,0.20995294442002307,0.8987528431132007,0.6778264022161552
74,0.21142957406323276,0.21018012757042143,0.8985854061258728,0.6700263414344886
75,0.21137736265100804,0.20972401481307915,0.8986757557873517,0.6827171850454223
76,0.21135204589519094,0.210159917603142,0.8986011551494334,0.6826373226711775
77,0.21138679688779743,0.20991852592633178,0.8985986684615027,0.6918984941937127
78,0.2113258334986132,0.20959801912951204,0.8988291015430727,0.6865626920367708
79,0.21127284551528341,0.20992505911947879,0.8988315882310034,0.677899128828882
80,0.21130046402752195,0.2095733008048119,0.8982853457822457,0.6867061387135924
81,0.21126035655779082,0.2094169472265374,0.8987561586971081,0.6774094058731022
82,0.21128887355759365,0.209261683412434,0.89898078950684,0.676778232549471
83,0.21117644402323216,0.20983478731333846,0.8989932229464931,0.6915796456768474
84,0.21121041908769214,0.21023453691466992,0.8983400529167191,0.6712996972428634
85,0.21110610058968834,0.2100702914689614,0.8980573993886063,0.6917198844691104
86,0.21111808784228192,0.21146893636061442,0.8967353103054979,0.6951799448900714
87,0.21109345439581592,0.20974197080480586,0.8987006226666578,0.6714061597931008
88,0.21107814020543067,0.20975754870991847,0.8984560983534811,0.693765151647812
89,0.2110131158397444,0.2100189997282017,0.8978858179213941,0.6868508833181499
90,0.21100251103830672,0.20947189650658474,0.8990686524803884,0.6892305811340281
