round,accuracy,f1
1,0.875275193464321,0.5203939874890369
2,0.8795614145607182,0.5355466557678632
3,0.8830726179187417,0.557179300224319
4,0.8846044176839983,0.5672916544346847
5,0.885822894769998,0.5722572860654591
6,0.8861511375768386,0.5836096361413202
7,0.8864221865612754,0.5999430483973853
8,0.8871980331956261,0.5981478619293921
9,0.8876754772783035,0.6072602864547018
10,0.8878644655610299,0.6057845968847586
11,0.8882706245896965,0.6058691538086771
12,0.8880327314443347,0.6107040266879159
13,0.8897029568377287,0.620933469575028
14,0.8893050867688309,0.615999395779869
15,0.8894111854538703,0.6147399604297301
16,0.8898413824658661,0.6157056555830214
17,0.8888135514545467,0.6186662982171411
18,0.8889627527303834,0.6153150492943921
19,0.8893995809101941,0.6269701236251732
20,0.8906818829864127,0.626282461763318
21,0.8902740661657924,0.6240341209732334
22,0.89037270478704,0.6264908124064776
23,0.8902873285014223,0.6364119763158587
24,0.889956599006651,0.6245186441120429
25,0.8907365901208862,0.6223000708810639
26,0.8910084680012997,0.6195100622206083
27,0.8907117232415801,0.6169416731008638
28,0.8911319735018534,0.6229376004316587
29,0.8917503299005988,0.6264639948248898
30,0.8920644814758327,0.6448104553341325
